date,pnl_usd
2025-02-21,-30.27
2025-03-21,-30.79
2025-03-25,-13.33
2025-03-28,-15.49
2025-04-22,26.58
2025-05-08,65.40
2025-05-12,-30.94
2025-06-10,-27.88
2025-06-12,-13.56
2025-06-17,-27.49
2025-07-03,5.37
2025-07-04,-28.43
2025-07-10,26.22
2025-07-14,35.61
2025-08-11,-26.95
2025-08-14,-15.00
2025-08-23,-15.39
2025-09-05,-13.19
2025-10-02,27.05
2025-10-05,53.79
2025-10-07,-28.07
2025-10-21,-29.83
2025-10-27,31.82
2025-10-28,-26.45
2025-11-11,-29.87
2025-12-01,-15.47
2025-12-30,-13.96
2026-01-05,26.55
2026-01-06,-26.83
2026-01-14,63.45
2026-01-16,-30.98
