id,entry_time,exit_time,symbol,side,entry_price,exit_price,quantity,pnl_usd,pnl_pct,exit_reason,status
f388227b-e246-41c2-a7c8-43f3dcc8ac60,2025-03-02 10:00:00,2025-03-03 08:00:00,BNB,BUY,609.40455,601.2395408318,3.2835330816,-31.7723625988,,,CLOSED
6a665005-dae9-47f9-9717-4e95af9d70ab,2025-03-15 06:00:00,2025-03-15 21:00:00,BNB,BUY,594.59715,615.6723374791,3.3432455914,65.3841275847,,,CLOSED
440a0a5d-f67d-4031-a6dd-4d1fb14d6445,2025-03-25 05:00:00,2025-03-25 11:00:00,BNB,BUY,642.951315,634.913363777,3.1318907134,-30.1703569441,,,CLOSED
60d3d91a-b945-457c-93b9-6f44175fb71c,2025-03-27 08:00:00,2025-03-27 11:00:00,BNB,BUY,641.1204,633.2094831113,3.1213733703,-29.6588262826,,,CLOSED
4121c068-cc62-4902-bc92-050e299cf427,2025-04-11 17:00:00,2025-04-15 20:00:00,BNB,BUY,589.59465,581.8932023861,3.3733451382,-30.9129370197,,,CLOSED
566c83fa-87bd-4b33-8161-7f5cb4936ca8,2025-04-21 16:00:00,2025-04-22 23:00:00,BNB,BUY,599.13942,616.8104856351,3.2982922549,53.2565701399,,,CLOSED
b2bb5b74-50f0-41f4-8acc-28e490f64072,2025-04-23 00:00:00,2025-04-23 13:00:00,BNB,BUY,616.308,608.5967892487,3.2403518419,-29.9421923143,,,CLOSED
410b231f-e927-454d-93ce-0588376e6391,2025-05-08 08:00:00,2025-05-09 10:00:00,BNB,BUY,616.60815,634.7503384467,3.2186929202,53.3448615924,,,CLOSED
26d87d7b-45d4-43ab-a37e-fd945d9849ae,2025-05-22 21:00:00,2025-05-23 11:00:00,BNB,BUY,682.10088,673.217296531,2.940362381,-31.0958326278,,,CLOSED
03f062d3-b360-4039-9f2d-4a5b1c3a7465,2025-05-27 16:00:00,2025-05-28 01:00:00,BNB,BUY,692.876265,683.8511519952,2.8760948971,-30.9000905617,,,CLOSED
b8c8bc92-a092-4db2-bcaf-1ded27cebe6a,2025-05-28 02:00:00,2025-05-29 19:00:00,BNB,BUY,683.9418,676.0325269809,2.8950020586,-27.8130479276,,,CLOSED
c2cd6988-4452-4580-bfd9-0298b17feb27,2025-06-24 05:00:00,2025-07-09 19:00:00,BNB,BUY,642.551115,665.2360003442,3.0635476162,64.4707672378,,,CLOSED
ce5f6002-fc21-464b-a534-5febf8460968,2025-07-11 01:00:00,2025-07-12 15:00:00,BNB,BUY,689.634645,681.9596661022,2.89123126,-27.1415868101,,,CLOSED
ef891a0c-098f-44f2-ba1b-1d7c24665dfd,2025-07-14 07:00:00,2025-07-14 15:00:00,BNB,BUY,706.77321,698.0325709908,2.8051886723,-29.4389433309,,,CLOSED
a6db634c-ab33-4566-9318-3f791762af93,2025-07-27 06:00:00,2025-07-27 17:00:00,BNB,BUY,796.11786,819.7395481978,2.4750782663,53.4516937499,,,CLOSED
6b65d3d1-d7a5-4d09-b102-97a9f17d922c,2025-08-04 23:00:00,2025-08-05 07:00:00,BNB,BUY,769.014315,760.0056150478,2.5896151136,-28.2726996837,,,CLOSED
f8a6fe22-2ac5-4e62-9b31-5b2d5fe05e96,2025-08-08 07:00:00,2025-08-11 02:00:00,BNB,BUY,790.064835,816.873283112,2.5057916531,62.1262762604,,,CLOSED
ac09f2be-ced5-449b-9316-b6e76387069c,2025-08-17 09:00:00,2025-08-18 01:00:00,BNB,BUY,862.13085,850.6884313474,2.3247105229,-31.5709222309,,,CLOSED
9fd652e5-fed3-4635-9ad9-7704a5046ed1,2025-09-10 13:00:00,2025-09-10 19:00:00,BNB,BUY,903.661605,893.6794061743,2.2034453204,-26.9401587823,,,CLOSED
484b7079-00ec-4e6a-8167-4c2360746365,2025-09-10 20:00:00,2025-09-12 18:00:00,BNB,BUY,890.76516,919.2118954428,2.2227957931,58.1864643177,,,CLOSED
8ec716df-5aa4-4e68-bf12-0e30cd8afe6f,2025-09-12 22:00:00,2025-09-15 08:00:00,BNB,BUY,925.64259,915.3415478502,2.1637715238,-27.2628657105,,,CLOSED
fde50b61-445f-4eff-b38b-c34db0e57c47,2025-09-16 22:00:00,2025-09-18 03:00:00,BNB,BUY,957.57855,992.1229181455,2.0797956497,66.7585394939,,,CLOSED
1122ae84-5b0b-4be6-b76b-30ea0c861b14,2025-09-18 21:00:00,2025-09-20 16:00:00,BNB,BUY,988.35393,1022.7994936633,2.0416633112,65.1760393051,,,CLOSED
61d426f1-7ba9-4973-9738-9f1a92bd1f95,2025-09-29 03:00:00,2025-10-02 12:00:00,BNB,BUY,1010.76513,1047.339422028,2.0218006821,68.7260956034,,,CLOSED
9d9fc850-9500-4669-b487-e1450e28b9c9,2025-10-27 00:00:00,2025-10-28 05:00:00,BNB,BUY,1139.64954,1124.6120132473,1.8169277682,-32.4577690105,,,CLOSED
a00674c8-a4d8-4401-8b01-dfaca3e2588b,2025-11-30 16:00:00,2025-11-30 22:00:00,BNB,BUY,899.56956,888.2991995891,2.2869348279,-30.8790602687,,,CLOSED
5325bbbb-eb52-4924-bfe2-42c6cfdc68db,2025-12-20 06:00:00,2025-12-23 14:00:00,BNB,BUY,854.2269,843.0628377445,2.3933775673,-31.7909551872,,,CLOSED
ec30c056-78c1-43a7-bec7-3d7d6db8192c,2025-12-29 02:00:00,2025-12-29 09:00:00,BNB,BUY,867.27342,857.7217801216,2.3422321159,-27.4169885902,,,CLOSED
f6acce13-06ca-44cc-b3d5-889f51e9237b,2025-12-29 10:00:00,2026-01-02 16:00:00,BNB,BUY,854.376975,881.5519289235,2.3642688925,59.1025826092,,,CLOSED
8d668b88-b302-4481-accc-263ea5027556,2026-01-05 02:00:00,2026-01-08 06:00:00,BNB,BUY,901.73064,891.6191980688,2.2658934609,-27.9851468789,,,CLOSED
9b83af0b-cf53-4761-bc08-2ed0202b55b4,2026-01-13 21:00:00,2026-01-14 11:00:00,BNB,BUY,942.260895,930.1488255151,2.1561088508,-31.1548104462,,,CLOSED
15d2c3a9-858f-44d1-b699-aefe6bc51e45,2026-01-14 12:00:00,2026-01-19 00:00:00,BNB,BUY,934.797165,922.2406490162,2.1595512367,-32.1226208965,,,CLOSED
685984d7-84f8-461c-a962-c50b5baf1b8e,2026-01-27 21:00:00,2026-01-29 14:00:00,BNB,BUY,896.177865,884.7947031334,2.2378179922,-30.448941643,,,CLOSED
